store,product,url
best_buy, Playstation 5, https://www.bestbuy.com/site/playstation-5/ps5-consoles/pcmcat1587395025973.c?id=pcmcat1587395025973
best_buy, Xbox X, https://www.bestbuy.com/site/searchpage.jsp?_dyncharset=UTF-8&browsedCategory=pcmcat1586900952752&id=pcat17071&iht=n&ks=960&list=y&qp=modelfamily_facet%3DModel%20Family~Xbox%20Series%20X&sc=Global&st=categoryid%24pcmcat1586900952752&type=page&usc=All%20Categories
